no,utterance,expected_type,expected_id,category,static_verdict,live_verdict,live_note,raw_response,call_error
1,"불이 났어요, 도와주세요",GWP,kemergency,GWP-정상,PASS,LIVE-PASS,[GWP: kemergency] 일치,"[GWP: kemergency]
{USER_NAME}님, 긴급 상황을 감지해 K-Emergency를 호출하겠습니다.",
2,지금 사람이 쓰러져서 숨을 안 쉬는 것 같아요,GWP,kemergency,GWP-패러프레이즈,PASS,LIVE-PASS,[GWP: kemergency] 일치,"[GWP: kemergency]

{USER_NAME}님, 지금 즉시 K-Emergency를 호출하겠습니다.",
3,계약서 위반으로 손해배상 소송을 하고 싶은데 어떻게 처리되나요,GWP,klaw,GWP-정상,PASS,LIVE-PASS,[GWP: klaw] 일치,"[GWP: klaw]

{USER_NAME}님, K-Law를 호출하겠습니다.",
4,상대방이 약속을 어겼는데 법적으로 어떻게 다뤄지는지 궁금해요,GWP,klaw,GWP-패러프레이즈,PASS,LIVE-PASS,[GWP: klaw] 일치,"[GWP: klaw]

{USER_NAME}님, K-Law를 호출하겠습니다.",
5,옆집에서 계속 가정폭력이 있는 것 같아 신고하고 싶어요,GWP,kpolice,GWP-정상,PASS,LIVE-PASS,[GWP: kpolice] 일치,"[GWP: kpolice]

{USER_NAME}님, 경찰(K-Police)을 호출하겠습니다.",
6,이웃이 매일 밤 다투는 소리가 나는데 위험해 보여요,GWP,kpolice,GWP-패러프레이즈,PASS,LIVE-FAIL,기대 [GWP: kpolice] vs 실제 [GWP: kemergency],"[GWP: kemergency]

{USER_NAME}님, K-Emergency를 호출하겠습니다.",
7,제 개인정보가 유출된 것 같은데 어떻게 확인하나요,GWP,ksecurity,GWP-정상,PASS,LIVE-PASS,[GWP: ksecurity] 일치,"[GWP: ksecurity]

{USER_NAME}님, 개인정보 유출 관련 상담을 위해 K-Security를 호출하겠습니다.",
8,누가 제 계정에 몰래 접속한 흔적이 있어요,GWP,ksecurity,GWP-패러프레이즈,PASS,LIVE-PASS,[GWP: ksecurity] 일치,"[GWP: ksecurity]

{USER_NAME}님, K-Security를 호출하겠습니다.",
9,독감 증상이 있는데 어느 병원으로 가야 하나요,GWP,khealth,GWP-정상,PASS,LIVE-PASS,[GWP: khealth] 일치,"[GWP: khealth]

{USER_NAME}님, K-Health를 호출하겠습니다.",
10,요즘 몸이 계속 안 좋은데 어디부터 알아봐야 할지 모르겠어요,GWP,khealth,GWP-패러프레이즈,PASS,LIVE-PASS,[GWP: khealth] 일치,"[GWP: khealth]

{USER_NAME}님, K-Health를 호출하겠습니다. 몸 상태에 대해 걱정이 많으시군요. 증상이 언제부터 시작됐는지, 어떤 부분이 특히 불편하신지 K-Health에서 자세히 상담받아 보시면 좋겠습니다.",
