no,utterance,expected_type,expected_id,category,static_verdict,live_verdict,live_note,raw_response,call_error
1,초등학교 2학년인데 받아쓰기 시험에서 자꾸 틀려서 연습 좀 도와주세요.,EXPERT,professor,"안전군(교사 트리거 단어 없음, 매칭O·동의어O 과목)",PASS,LIVE-PASS,[EXPERT: professor] 일치,"[EXPERT: professor]
{USER_NAME}님, 1:1 맞춤교육을 담당하는 교수님을 호출하겠습니다.",
2,중학교 역사 수행평가로 고려에서 조선으로 넘어가는 과정을 정리해야 해요.,EXPERT,professor,"안전군(교사 트리거 단어 없음, 매칭O·동의어X 과목)",PASS,LIVE-PASS,[EXPERT: professor] 일치,"[EXPERT: professor]

{USER_NAME}님, 역사 과목 1:1 맞춤교육을 담당하는 교수님을 호출하겠습니다.",
3,고등학교 화학1 몰농도 계산 문제를 같이 풀어봤으면 해요.,EXPERT,professor,"안전군(교사 트리거 단어 없음, 매칭O·동의어X 과목)",PASS,LIVE-PASS,[EXPERT: professor] 일치,"[EXPERT: professor]
{USER_NAME}님, 화학1 몰농도 계산 문제를 함께 풀어드릴 교수(1:1 맞춤교육)를 호출하겠습니다.",
4,중학교 음악 수행평가로 리코더 운지법 시험을 봐야 하는데 연습 좀 도와주세요.,EXPERT,professor,"안전군(교사 트리거 단어 없음, 완전공백 과목 — STEP-1은 professor로 가고, 리프 공백 여부는 STEP-2 문제)",PASS,LIVE-PASS,[EXPERT: professor] 일치,"[EXPERT: professor]김민준님, 음악 수행평가 리코더 연습을 도와드릴 교수님(1:1 맞춤교육)을 호출하겠습니다.",
5,"초등학교 3학년 아이 수학 숙제를 봐줄 선생님이 필요해요, 나눗셈 부분이요.",EXPERT,professor,"위험군(선생님 단어 포함, teacher 트리거 근접)",PASS,LIVE-PASS,[EXPERT: professor] 일치,"[EXPERT: professor]
{USER_NAME}님, 1:1 맞춤교육을 담당하는 교수(professor)를 호출하겠습니다. 초등학교 3학년 수학 나눗셈 숙제 지도를 위해 적절한 전문가와 연결해 드리겠습니다.",
6,학교 다녀와서 국어 받아쓰기를 봐줄 선생님을 구하고 있어요.,EXPERT,professor,위험군(교사 트리거 '학교 선생님'과 문구가 거의 겹침 — 핵심 함정 케이스),PASS,LIVE-PASS,[EXPERT: professor] 일치,"[EXPERT: professor]

{USER_NAME}님, 국어 받아쓰기를 봐줄 선생님(교수)을 호출하겠습니다.",
7,담임 선생님이 내주신 사회 숙제(우리 고장 지도)를 도와줄 사람이 필요해요.,EXPERT,professor,"위험군('담임' 트리거 단어 포함, 단 배경 설명일 뿐 요청 대상 아님)",PASS,LIVE-PASS,[EXPERT: professor] 일치,"[EXPERT: professor]

{USER_NAME}님, 교수(1:1 맞춤교육)를 호출하겠습니다.",
8,"1:1로 봐주실 수학 선생님을 구해요, 고등학교 물리1도요.",EXPERT,professor,위험군('선생님' 단어 + '1:1' 명시 — professor triggers와 정확히 겹치는 대조군),PASS,LIVE-PASS,[EXPERT: professor] 일치,"[EXPERT: professor]

{USER_NAME}님, 1:1 맞춤 교육을 담당하는 교수(professor) 서비스를 호출하겠습니다.",
9,과외 선생님처럼 저희 아이 영어 파닉스를 봐주실 분 있나요?,EXPERT,professor,위험군('선생님' + '과외' 단어 — professor triggers의 '과외'와 정확히 겹침),PASS,LIVE-PASS,[EXPERT: professor] 일치,"[EXPERT: professor]

{USER_NAME}님, 1:1 맞춤 영어 파닉스 지도를 담당하는 교수(과외) 서비스를 호출하겠습니다.",
10,학교 선생님한테 물어보기 어려운 화학 문제가 있어서 대신 봐주실 분을 찾아요.,EXPERT,professor,위험군(문자열 '학교 선생님'이 그대로 등장하지만 의미상 대체 조력자를 요청 — 최고난도 함정),PASS,LIVE-PASS,[EXPERT: professor] 일치,"[EXPERT: professor]

{USER_NAME}님, 교수(1:1 맞춤교육)를 호출하겠습니다.",
