no,utterance,expected_type,expected_id,category,static_verdict,live_verdict,live_note,raw_response,call_error
9101,옆집에서 불이 나서 연기가 우리 집까지 넘어오고 있어요,GWP,kemergency,R0-응급게이트,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9102,아버지가 갑자기 쓰러지셔서 숨을 잘 못 쉬세요,GWP,kemergency,R0-응급게이트,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9103,"누가 저를 계속 따라오면서 위협하고 있어요, 지금 무서워요",GWP,kemergency,R0-응급게이트,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9104,"오늘 날씨 진짜 좋네요, 기분이 좋아요",PLATFORM,direct-response,0단계-잡담감정표현,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9105,요즘 회사 일이 너무 힘들어서 지쳐요,PLATFORM,direct-response,0단계-잡담감정표현,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9106,"그거 있잖아요, 저번에 말씀드린 거요",PLATFORM,ambiguous-short,1단계-의도불명확,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9107,이것 좀 처리해주세요,PLATFORM,ambiguous-short,1단계-의도불명확,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9108,법률 문제가 좀 있는데 봐주실 수 있나요,PLATFORM,ambiguous-short,확신도게이트-GWPvsEXPERT,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9109,몸이 좀 안 좋아서 상담받고 싶어요,PLATFORM,ambiguous-short,확신도게이트-GWPvsEXPERT,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9110,등기 관련 절차를 좀 봐주실 수 있나요,PLATFORM,ambiguous-short,확신도게이트-EXPERTvsEXPERT,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9111,이 검사 수치가 어떤 의미인지 봐주실 수 있나요,PLATFORM,ambiguous-short,확신도게이트-EXPERTvsEXPERT,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9112,이 틀니가 어떻게 만들어지는지 봐주실 수 있나요,PLATFORM,ambiguous-short,확신도게이트-EXPERTvsEXPERT,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9113,계약서를 작성할 때 법적으로 뭘 조심해야 하는지 알려주세요,GWP,klaw,R1AC-GWP기본값,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9114,고등학교 검정고시가 어떤 식으로 진행되는지 알려주세요,GWP,kedu,R1AC-GWP기본값,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9115,제주도에 나온 원룸 매물 좀 찾아주세요,GWP,kestate,R1AC-GWP기본값,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9116,해외 직구 물건이 통관에서 얼마나 걸리는지 알려주세요,GWP,klogistics,R1AC-GWP기본값,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9117,우리 아파트 단지 보안 시스템은 법적으로 어떤 기준을 지켜야 하나요,GWP,ksecurity,R1AC-GWP기본값,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9118,"이혼 소송을 변호사님께 직접 맡기고 싶어요, 제 편에서 봐주셨으면 해요",EXPERT,lawyer,R1AC-EXPERT위임의도,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9119,부동산 등기 서류 처리를 법무사님께 직접 맡기고 싶어요,EXPERT,judicial-scrivener,R1AC-EXPERT위임의도,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9120,제 발명품 특허 출원을 변리사님께 직접 맡기고 싶어요,EXPERT,patent-attorney,R1AC-EXPERT위임의도,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9121,수입 화물 통관을 관세사님께 직접 맡기고 싶어요,EXPERT,customs-broker,R1AC-EXPERT위임의도,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9122,퇴직금 계산이랑 노무 문제를 노무사님께 직접 여쭤보고 싶어요,EXPERT,labor-attorney,R1AC-EXPERT위임의도,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9123,이 집 매매 협상을 공인중개사님께 직접 맡기고 싶어요,EXPERT,real-estate-agent,R1AC-EXPERT위임의도,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9124,저희 회사 보안 컨설팅을 보안기사님께 직접 받고 싶어요,EXPERT,security-engineer,R1AC-EXPERT위임의도,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
