no,utterance,expected_type,expected_id,category,static_verdict,live_verdict,live_note,raw_response,call_error
1,부모님 요양원 모시려는데 등급판정부터 시설 고르고 비용까지 한번에 알아봐줘,PLATFORM,k-intent,K-Intent 트리거 검증(2026-08-03),N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256),,'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256)
2,빚이 너무 많아서 회생이든 파산이든 정리하고 싶은데 처음부터 끝까지 도와줘,PLATFORM,k-intent,K-Intent 트리거 검증(2026-08-03),N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256),,'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256)
3,아버지 돌아가셔서 장례 치르고 사망신고에 상속까지 정리해야 하는데 순서를 몰라서 막막해,PLATFORM,k-intent,K-Intent 트리거 검증(2026-08-03),N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256),,'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256)
4,"다음 달에 결혼하는데 혼인신고랑 주소 옮기는 거, 배우자 건강보험 등록까지 한꺼번에 처리해줘",PLATFORM,k-intent,K-Intent 트리거 검증(2026-08-03),N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256),,'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256)
5,사업자 등록하고 4대보험 가입에 세무서 신고까지 창업 초기에 필요한 거 순서대로 다 해줘,PLATFORM,k-intent,K-Intent 트리거 검증(2026-08-03),N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256),,'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256)
6,이혼 절차 진행하면서 주소 이전이랑 자녀 건강보험 피부양자 변경까지 같이 처리하고 싶어,PLATFORM,k-intent,K-Intent 트리거 검증(2026-08-03),N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256),,'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256)
7,강아지 새로 데려왔는데 등록하고 예방접종 예약에 펫보험 가입까지 한번에 진행해줘,PLATFORM,k-intent,K-Intent 트리거 검증(2026-08-03),N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256),,'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256)
8,부모님 돌아가시고 남긴 재산이 뭐가 있는지부터 조회해서 상속세 신고하고 명의까지 옮기는 거 도와줘,PLATFORM,k-intent,K-Intent 트리거 검증(2026-08-03),N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256),,'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256)
9,폐업하려는데 폐업신고랑 부가세 확정신고까지 같이 정리해줘,PLATFORM,k-intent,K-Intent 트리거 검증(2026-08-03),N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256),,'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256)
10,곧 출산하는데 출산장려금 신청이랑 육아휴직급여 신청까지 순서대로 진행해줘,PLATFORM,k-intent,K-Intent 트리거 검증(2026-08-03),N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256),,'latin-1' codec can't encode characters in position 7-9: ordinal not in range(256)
