no,utterance,expected_type,expected_id,category,static_verdict,live_verdict,live_note,raw_response,call_error
1,"회사에서 부당하게 잘린 것 같은데, 제 편에서 이 상황을 어떻게 다퉈볼 수 있을지 직접 봐주실 분 있을까요",EXPERT,labor-attorney,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: labor-attorney] 일치,"[EXPERT: labor-attorney]

{USER_NAME}님, 공인노무사를 호출하겠습니다.",
2,아버지 명의로 돼 있는 집을 제 앞으로 넘기는 서류 작업을 대신 처리해주실 분이 필요해요,EXPERT,judicial-scrivener,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-FAIL,기대된 라우팅 태그가 없고 되묻지도 않음 (직접 답변으로 종료),"[CALL_KINTENT: query=아버지 명의로 돼 있는 집을 제 앞으로 넘기는 서류 작업을 대신 처리해주실 분이 필요해요]

{USER_NAME}님, 부동산 명의 이전(증여·매매) 관련 서류 처리를 도와드릴 전문가 연결을 시작하겠습니다.",
3,작년 소득 신고를 잘못한 것 같아서 세금을 돌려받을 수 있는지 제 상황 보고 판단해주실 분 필요해요,EXPERT,tax-accountant,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: tax-accountant] 일치,"[EXPERT: tax-accountant]

{USER_NAME}님, 세무사(전문가)를 호출하겠습니다.",
4,저희 회사 재무제표에 이상한 부분이 있는지 외부에서 꼼꼼히 들여다봐 줄 전문가가 필요한데요,EXPERT,accountant,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: accountant] 일치,"[EXPERT: accountant]

{USER_NAME}님, 공인회계사를 호출하겠습니다.",
5,은퇴하고 나서도 생활이 안정되게 미리 자산을 어떻게 굴려야 할지 제 상황에 맞춰 짜주실 분 있나요,EXPERT,financial-planner,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-FAIL,기대된 라우팅 태그가 없고 되묻지도 않음 (직접 답변으로 종료),"[CALL_KINTENT: query=은퇴하고 나서도 생활이 안정되게 미리 자산을 어떻게 굴려야 할지 제 상황에 맞춰 짜주실 분 있나요]

고객님, 은퇴 후 생활 안정을 위한 맞춤형 자산 운용 계획이 필요하시군요. 이는 단순히 투자 상품 하나를 추천받는 문제가 아니라, 고객님의 현재 자산 상황, 예상 은퇴 시점, 목표 생활비, 부채 현황, 그리고 노후 소득원(국민연금·개인연금 등)까지 종합적으로 고려해야 하는 복합적인 재무 설계입니다.

이런 경우 여러 기관과 전문가의 조합이 필요할 수 있어, 제가 직접 한 곳으로 연결해 드리기보다는 상황에 맞는 최적의 계획을 세워드릴 수 있는 경로로 안내해 드리겠습니다.",
6,요즘 계속 소화가 안 되고 속이 불편한데 제 증상을 보고 진료해주실 분과 얘기해보고 싶어요,EXPERT,physician,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: physician] 일치,"[EXPERT: physician]

{USER_NAME}님, 의사 선생님을 호출하겠습니다.",
7,요즘 이가 시려서 밥 먹기가 힘든데 왜 그런 건지 직접 봐주실 분한테 여쭤보고 싶어요,EXPERT,dentist,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: dentist] 일치,"[EXPERT: dentist]

{USER_NAME}님, 치과의사를 호출하겠습니다.",
8,지금 먹고 있는 약들을 같이 먹어도 괜찮은 건지 전문가한테 직접 확인받고 싶어요,EXPERT,pharmacist,정상경로(패러프레이즈 — trigger 문자열 미사용),WARN,LIVE-PASS,[EXPERT: pharmacist] 일치,"[EXPERT: pharmacist]

{USER_NAME}님, 약사 전문가를 호출하겠습니다.",
9,저희 강아지가 요 며칠 밥을 잘 안 먹는데 왜 그런지 직접 봐주실 분과 얘기하고 싶어요,EXPERT,veterinarian,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: veterinarian] 일치,"[EXPERT: veterinarian]

{USER_NAME}님, 수의사 전문가를 호출하겠습니다.",
10,퇴원하고 나서 집에서 상처 관리를 어떻게 해야 하는지 물어볼 수 있는 분 있을까요,EXPERT,nurse,정상경로(패러프레이즈 — trigger 문자열 미사용),WARN,LIVE-PASS,[EXPERT: nurse] 일치,"[EXPERT: nurse]

{USER_NAME}님, 간호사 전문가를 호출하겠습니다.",
