no,utterance,expected_type,expected_id,category,static_verdict,live_verdict,live_note,raw_response,call_error
9001,어젯밤에 옆집에서 불이 나서 연기가 막 넘어와요,GWP,kemergency,분기커버리지-R0-응급게이트,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9002,"오늘 날씨 진짜 좋네요, 기분이 좋아요",PLATFORM,direct-response,분기커버리지-0단계-잡담감정표현,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9003,"음... 그거 있잖아요, 좀 도와주세요",PLATFORM,ambiguous-short,분기커버리지-1단계-의도불명확,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9004,법률 문제가 좀 있는데 봐주실 수 있나요,PLATFORM,ambiguous-short,분기커버리지-2단계-확신도게이트,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9005,이혼하면 재산분할이 법적으로 어떻게 되는지 궁금해요,GWP,klaw,분기커버리지-R1AC-GWP기본값,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9006,"이혼 소송을 변호사님께 직접 맡기고 싶어요, 제 편에서 봐주셨으면 해요",EXPERT,lawyer,분기커버리지-R1AC-EXPERT위임의도,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9007,부가세 신고를 처음 하는 사업자인데 어떻게 준비해야 하나요,GWP,kbusiness,분기커버리지-R2AC-GWP충돌해소,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9008,휴대폰 요금제를 좀 저렴한 걸로 바꾸고 싶어요,GWP,ktelecom,분기커버리지-2단계-GWP예외태그,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9009,제주도에 있는 원룸 매물 좀 찾아주세요,GWP,kestate,분기커버리지-2단계-GWP예외태그,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9010,개인사업자 등록이랑 회사 퇴사 절차랑 실업급여 신청까지 한 번에 정리해서 순서대로 알려주세요,PLATFORM,k-intent,분기커버리지-2단계-표밖오케스트레이션,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
9011,요즘 한국은행 기준금리가 몇 퍼센트인가요,PLATFORM,web-search-tag,분기커버리지-3단계-INFO경로1웹검색,N/A,LIVE-ERROR,unhandled_exception: 'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256),,'latin-1' codec can't encode characters in position 10-15: ordinal not in range(256)
